id1,id2,filter_failed,reason,total_timestamps,passed_filter,final_pairs,min_speed_diff,max_speed_diff,mean_speed_diff,min_ttc,max_ttc_val,min_lateral_dist,max_lateral_dist
10502378,10502730,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,251,25,,,,,3.3383984565734863,25.540382385253906,,
10503753,10503837,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,287,70,,,,,3.001267671585083,10.39271068572998,,
10503799,10503813,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,307,50,,,,,3.505563735961914,11.227926254272461,,
10504282,10504293,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,984,75,,,,,4.2711663246154785,16.181163787841797,,
10506895,10506911,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,538,51,,,,,4.64523458480835,10.989212036132812,,
10515670,10515717,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,129,15,15.0,,,,,,,
10518358,10518403,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,258,27,27.0,,,,,,,
10520273,10520282,SAME_LANE,All lateral distances > 2.0m (not same lane),154,49,,,,,,,2.3380746841430664,3.632227897644043
10522986,10523003,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),145,79,,-9.177454948425293,0.9493484497070312,0.0564645454287529,,,,
10525064,10525286,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,192,17,17.0,,,,,,,
10526022,10526157,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,368,85,,,,,2.955104351043701,32.859527587890625,,
10529277,10529311,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,364,4,4.0,,,,,,,
10532131,10532399,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,364,5,,,,,5.0348334312438965,32.37810516357422,,
10535364,10535384,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,249,23,,,,,4.431168079376221,8.259880065917969,,
10535595,10535738,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,185,6,6.0,,,,,,,
10539031,10539050,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,691,35,,,,,3.837898015975952,6.693380355834961,,
10539501,10539513,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,164,1,1.0,,,,,,,
10540216,10540353,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,283,102,,,,,2.326448440551758,20.225175857543945,,
